# TOTAL_GENES = 11758
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
x357         COVAR   11758     0.073642     0.090288     0.045428     0.052515
x358         COVAR   11758   0.00086075    0.0010848     0.034202      0.48996
x359         COVAR   11758      0.10192      0.12896     0.034623    0.0016248
x360         COVAR   11758     0.032968     0.042764     0.027461      0.11498
x361         COVAR   11758     0.033587     0.042322     0.037767      0.18692
x362         COVAR   11758     -0.05809    -0.076128     0.032772      0.96184
x363         COVAR   11758     -0.13009     -0.16628      0.04002      0.99942
x364         COVAR   11758     0.010688     0.013534     0.039966      0.39457
x365         COVAR   11758     0.015547     0.019556     0.038173       0.3419
x366         COVAR   11758     0.037806     0.051587     0.024827     0.063922
x367         COVAR   11758     -0.10098     -0.12784     0.038989      0.99519
x368         COVAR   11758     0.042167     0.051129     0.049361      0.19649
x369         COVAR   11758     0.024466     0.031678     0.033588      0.23319
x370         COVAR   11758     0.024573     0.031712     0.033893      0.23422
x371         COVAR   11758    -0.015819    -0.019755     0.044281      0.63954
x372         COVAR   11758     0.065723     0.079476     0.038016     0.041935
x373         COVAR   11758    -0.035323    -0.045737     0.034792        0.845
x374         COVAR   11758   0.00060247   0.00080206     0.030227      0.49205
x375         COVAR   11758     0.045644     0.057136     0.035691      0.10048
x376         COVAR   11758     0.035967     0.046638     0.032333        0.133
x377         COVAR   11758     0.011952     0.015092     0.035506       0.3682
x378         COVAR   11758   -0.0099517    -0.012893     0.032366      0.62075
x379         COVAR   11758    -0.081333     -0.10301     0.037825      0.98422
x380         COVAR   11758    -0.029755     -0.03784     0.039009       0.7772
x381         COVAR   11758      0.02227     0.028575     0.027871      0.21215
x382         COVAR   11758     0.041488     0.053656     0.027486     0.065613
x383         COVAR   11758   -0.0026216   -0.0032402     0.044402      0.52354
x384         COVAR   11758    -0.010098    -0.012574     0.040789      0.59776
x385         COVAR   11758     0.098563      0.12618     0.032942    0.0013886
x386         COVAR   11758    -0.032317    -0.040023     0.046497      0.75648
x387         COVAR   11758    0.0070484    0.0093104     0.030613      0.40895
x388         COVAR   11758    0.0052864    0.0066436     0.037832      0.44444
x389         COVAR   11758     0.023848     0.030371     0.033017      0.23507
x390         COVAR   11758     -0.11247     -0.14529     0.040752       0.9971
x391         COVAR   11758     0.030916     0.038781     0.033293      0.17656
x392         COVAR   11758    -0.011654     -0.01461     0.036909       0.6239
x393         COVAR   11758   -0.0095559    -0.011967     0.037665      0.60014
x394         COVAR   11758     0.018223     0.022074     0.044012      0.33943
x395         COVAR   11758     0.051691     0.066694     0.030191     0.043451
x396         COVAR   11758     0.029632     0.038332      0.02866      0.15059
x397         COVAR   11758      0.12771      0.16132     0.035027   0.00013378
x398         COVAR   11758     -0.19918     -0.25131     0.046311      0.99999
x399         COVAR   11758    -0.069492    -0.084316     0.047785      0.92705
x400         COVAR   11758    -0.029789    -0.039839     0.030729      0.83382
x401         COVAR   11758      0.02566     0.033141     0.031177      0.20526
x402         COVAR   11758     -0.10905     -0.13979     0.039228      0.99728
x403         COVAR   11758      0.01241     0.015746     0.035343      0.36275
x404         COVAR   11758     0.032098     0.039679     0.040414      0.21354
x405         COVAR   11758    -0.033844    -0.043617     0.036135      0.82551
x406         COVAR   11758    -0.039539    -0.050402     0.037689      0.85291
x407         COVAR   11758   -0.0039124   -0.0047633     0.043552      0.53579
